'IDENT1'	'SYSTEM1'	'IDENT2_NOPREFIX'	'Level'	'LAT_NAME'	'EN_NAME'	'DESC_LINK'	'BODY_LENGTH[cm]'	'WING_SPAN[cm]'						'GROUP_KEY_1'	'GROUP_KEY_2'	'GROUP_KEY_3'	'valid_authority'	'LOC_KEY'	'REST_LINK'	'MIG_LINK'	'FOTO_LINK'	'AERIAL_LINK'	'SCHEMA_LINK'	'MES_LINK'	'STS_LAW'
'CU_0'	'Custom'	'0'	'UI'	'unknown'	'unknown species'									'unknown'	'unknown'	'unknown'									
'E_20'	'EURING'	'20'	'S'	'Gavia stellata'	'Red-throated Diver'	'https://avibase.ca/6C50988A '	'53-69'	'106-116'						'Waterbird'	'Diver'	'known'									
'E_30'	'EURING'	'30'	'S'	'Gavia arctica'	'Black-throated Diver'	'https://avibase.ca/CA5852BE '	'58-73'	'110-130'						'Waterbird'	'Diver'	'known'									
'E_40'	'EURING'	'40'	'S'	'Gavia immer'	'Great Northern Diver'	'https://avibase.ca/7E022378'	'70-90'	'127-147'						'Waterbird'	'Diver'	'known'									
'E_50'	'EURING'	'50'	'S'	'Gavia adamsii'	'White-billed Diver (Yellow-billed Diver)'	'https://avibase.ca/5349255D'	'84-92'	'36-39.5'						'Waterbird'	'Diver'	'known'									
'CU_59'	'Custom'	'59'	'UI'	'Gavia sp.'	'unidentified diver'									'Waterbird'	'Diver'	'unknown'									
'E_60'	'EURING'	'60'	'S'	'Podilymbus podiceps'	'Pied-billed Grebe'	'https://avibase.ca/9A8E55D0 '	'30.5-38.1cm'	16						'Waterbird'	'Grebe'	'known'									
'E_70'	'EURING'	'70'	'S'	'Tachybaptus ruficollis'	'Little Grebe'	'https://avibase.ca/71682A47 '	'25-29'	'40-45'						'Waterbird'	'Grebe'	'known'									
'E_90'	'EURING'	'90'	'S'	'Podiceps cristatus'	'Great Crested Grebe'	'https://avibase.ca/8F269702 '	'46-51'	'85-90'						'Waterbird'	'Grebe'	'known'									
'E_100'	'EURING'	'100'	'S'	'Podiceps grisegena'	'Red-necked Grebe'	'https://avibase.ca/1CBD2CED '	'40-50'	'61-88'						'Waterbird'	'Grebe'	'known'									
'E_110'	'EURING'	'110'	'S'	'Podiceps auritus'	'Slavonian Grebe'	'https://avibase.ca/018B3169 '	'31-38'	'59-65'						'Waterbird'	'Grebe'	'known'									
'E_120'	'EURING'	'120'	'S'	'Podiceps nigricollis'	'Black-necked Grebe'	'https://avibase.ca/32DCEC14 '	'28-34'	'56-60'						'Waterbird'	'Grebe'	'known'									
'CU_127'	'Custom'	'127'	'SG'	'P. grisegena/P. cristatus'	'Red-necked/Great Crested Grebe'									'Waterbird'	'Grebe'	'known'									
'CU_128'	'Custom'	'128'	'SG'	'P. auritus/P. nigricollis'	'Slavonian/Black-necked Grebe'									'Waterbird'	'Grebe'	'known'									
'CU_129'	'Custom'	'129'	'UI'	'Podicipedidae sp.'	'unidentified grebe'									'Waterbird'	'Grebe'	'unknown'									
'E_140'	'EURING'	'140'	'S'	'Diomedea melanophris'	'Black-browed Albatross'	'https://avibase.ca/F9CBC9EB '	'81-95'	'214-244'						'Seabird'	'Procellariiform'	'known'									
'E_220'	'EURING'	'220'	'S'	'Fulmarus glacialis'	'Northern Fulmar'	'https://avibase.ca/049D9AEA '	'45-50'	'100-112'						'Seabird'	'Procellariiform'	'known'									
'E_340'	'EURING'	'340'	'S'	'Bulweria bulwerii'	'Bulwer''s Petrel'	'https://avibase.ca/058773E4 '	'25-29'	'78-90'						'Seabird'	'Procellariiform'	'known'									
'E_360'	'EURING'	'360'	'S'	'Calonectris diomedea'	'Cory''s Shearwater'	'https://avibase.ca/710BB4E6 '	'45-46'	'105-125'						'Seabird'	'Procellariiform'	'known'									
'E_400'	'EURING'	'400'	'S'	'Puffinus gravis'	'Great Shearwater'	'https://avibase.ca/8B879DFA'	'43-51'	'100-118'						'Seabird'	'Procellariiform'	'known'									
'CU_409'	'Custom'	'409'	'SG'	'P. gravis/C. diomedea'	'Great/Cory''s Shearwater'									'Seabird'	'Procellariiform'	'known'									
'E_430'	'EURING'	'430'	'S'	'Puffinus griseus'	'Sooty Shearwater'	'https://avibase.ca/1725B07D '	'40-51'	'94-109'						'Seabird'	'Procellariiform'	'known'									
'E_460'	'EURING'	'460'	'S'	'Puffinus puffinus'	'Manx Shearwater'	'https://avibase.ca/5AEDC002 '	'30-38'	'76-82'						'Seabird'	'Procellariiform'	'known'									
'CU_462'	'Custom'	'462'	'S'	'Puffinus yelkkouan'	'Yelkouan Shearwater'	'https://avibase.ca/FD97EC1E '	'30-36'	'70-84'						'Seabird'	'Procellariiform'	'known'									
'CU_463'	'Custom'	'463'	'S'	'Puffinus mauretanicus'	'Balearic Shearwater'	'https://avibase.ca/42F573C7 '	'34-39'	'83-93'						'Seabird'	'Procellariiform'	'known'									
'E_464'	'EURING'	'464'	'S'	'Puffinus baroli'	'Barolo Shearwater'	'https://avibase.ca/5F555FDD '	28	62						'Seabird'	'Procellariiform'	'known'									
'E_480'	'EURING'	'480'	'S'	'Puffinus assimilis'	'Little Shearwater'	'https://avibase.ca/0205EDC6 '								'Seabird'	'Procellariiform'	'known'									
'CU_499'	'Custom'	'499'	'UI'	'Puffinus sp.'	'unidentified shearwater'									'Seabird'	'Procellariiform'	'unknown'									
'E_500'	'EURING'	'500'	'S'	'Oceanites oceanicus'	'Wilson''s Storm-petrel'	'https://avibase.ca/D295D249 '	'16-19'	'38-42'						'Seabird'	'Procellariiform'	'known'									
'E_520'	'EURING'	'520'	'S'	'Hydrobates pelagicus'	'European Storm-petrel'	'https://avibase.ca/E1638A37 '	'14-18'	'36-39'						'Seabird'	'Procellariiform'	'known'									
'E_550'	'EURING'	'550'	'S'	'Oceanodroma leucorhoa'	'Leach''s Storm-petrel'	'https://avibase.ca/C5FB15C6 '	'19-22'	'45-48'						'Seabird'	'Procellariiform'	'known'									
'CU_551'	'Custom'	'551'	'S'	'Pterodroma feae'	'Fea''s petrel'	'https://avibase.ca/CFE78BAC '	38	'88-94'						'Seabird'	'Procellariiform'	'known'									
'CU_558'	'Custom'	'558'	'SG'	'O. leucorhoa/H. pelagicus'	'European/Leach`s Storm-petrel'									'Seabird'	'Procellariiform'	'known'									
'E_560'	'EURING'	'560'	'S'	'Oceanodroma monorhis'	'Swinhoe''s Storm-petrel'	'https://avibase.ca/80DE8670 '	20	45						'Seabird'	'Procellariiform'	'known'									
'E_580'	'EURING'	'580'	'S'	'Oceanodroma castro'	'Band-rumped Storm Petrel'	'https://avibase.ca/D3FAE385 '	'19-21'	'43-46'						'Seabird'	'Procellariiform'	'known'									
'CU_588'	'Custom'	'588'	'UI'		'unidentified storm petrel'									'Seabird'	'Procellariiform'	'unknown'									
'CU_589'	'Custom'	'589'	'UI'		'unidentified petrel'									'Seabird'	'Procellariiform'	'unknown'									
'E_710'	'EURING'	'710'	'S'	'Sula bassana'	'Northern Gannet'	'https://avibase.ca/534FB490 '	'92.5-110'	'484-535'						'Seabird'	'Gannet'	'known'									
'E_720'	'EURING'	'720'	'S'	'Phalacrocorax carbo'	'Great Cormorant'	'https://avibase.ca/ACD40E8C '	'80-100'	'130-160'						'Seabird'	'Cormorant and Shag'	'known'									
'E_721'	'EURING'	'721'	'S'	'Phalacrocorax carbo carbo'	'North Atlantic Cormorant'	'https://avibase.ca/ACD40E8C '	'84-90'	'130-160'						'Seabird'	'Cormorant and Shag'	'known'									
'E_800'	'EURING'	'800'	'S'	'Phalacrocorax aristotelis'	'European Shag'	'https://avibase.ca/CECC7B26 '	'65-80'	'90-105'						'Seabird'	'Cormorant and Shag'	'known'									
'CU_809'	'Custom'	'809'	'SG'	'Ph.  aristotelis/ Ph. carbo'	'European Shag/Great Cormorant'	'https://avibase.ca/BD501295 '	'65-100'	'90-160'						'Seabird'	'Cormorant and Shag'	'known'									
'E_820'	'EURING'	'820'	'S'	'Phalacrocorax pygmeus'	'Pygmy Cormorant'	'https://avibase.ca/AFF49475'	'45-55'	'45-55'						'Seabird'	'Cormorant and Shag'	'known'									
'E_890'	'EURING'	'890'	'S'	'Pelecanus crispus'	'Dalmatian Pelican'	'https://avibase.ca/7C6D8BA2'	'160-180'	'310-345'						'Waterbird'	'Pelican'	'known'									
'E_900'	'EURING'	'900'	'S'	'Pelecanus rufescens'	'Pink-backed Pelican'	'https://avibase.ca/8D24E93C'	'124.46- 129.54'	'24-13'						'Waterbird'	'Pelican'	'known'									
'CU_919'	'Custom'	'919'	'S'	'Pelecanus sp.'	'Pelican sp.'									'Waterbird'		'unknown'									
'E_950'	'EURING'	'950'	'S'	'Botaurus stellaris'	'Eurasian Bittern'	'https://avibase.ca/0F42F11A'	'64-80'	'125-135'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_960'	'EURING'	'960'	'S'	'Botaurus lentiginosus'	'American Bittern'	'https://avibase.ca/13E9F9B4'	'58-68'	'80-106'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_980'	'EURING'	'980'	'S'	'Ixobrychus minutus'	'Little Bittern'	'https://avibase.ca/7AAD57AC'	'33-38'	'52-58'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1040'	'EURING'	'1040'	'S'	'Nycticorax nycticorax'	'Black-crowned Night Heron'	'https://avibase.ca/6BB94D7E '	'58-65'	'105-112'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'CU_1041'	'Custom'	'1041'	'S'	'Butorides virescens'	'Green Heron'	'https://avibase.ca/86D45B8F '	44	56						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1080'	'EURING'	'1080'	'S'	'Ardeola ralloides'	'Squacco Heron'	'https://avibase.ca/CE73EBD7 '	'44-47'	'80-92'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1110'	'EURING'	'1110'	'S'	'Bubulcus ibis'	'Cattle Egret'	'https://avibase.ca/AB1CB216 '	'45-50'	'82-95'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1190'	'EURING'	'1190'	'S'	'Ardea garzetta'	'Little Egret'	'https://avibase.ca/A6E9EDE5 '	'55-65'	'88-95'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1210'	'EURING'	'1210'	'S'	'Ardea alba'	'Great Egret'	'https://avibase.ca/267D8CCE '	94	155						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1220'	'EURING'	'1220'	'S'	'Ardea cinerea'	'Grey Heron'	'https://avibase.ca/6AC87967 '	'90-98'	'175-195'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1240'	'EURING'	'1240'	'S'	'Ardea purpurea'	'Purple Heron'	'https://avibase.ca/8D6CB009 '	'78-90'	'120-150'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1310'	'EURING'	'1310'	'S'	'Ciconia nigra'	'Black Stork'	'https://avibase.ca/E2817DAE '	'95-100'	'144-155'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1340'	'EURING'	'1340'	'S'	'Ciconia ciconia'	'White Stork'	'https://avibase.ca/28825494 '	'100-115'	'65-155'						'Waterbird'	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1360'	'EURING'	'1360'	'S'	'Plegadis falcinellus'	'Glossy Ibis'	'https://avibase.ca/D4540F88'	60	88						'Terrestrial '	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1420'	'EURING'	'1420'	'S'	'Threskiornis aethiopicus'	'Sacred Ibis'	'https://avibase.ca/550DE745'	'65-75'	'112-124'						'Terrestrial '	'Heron, Egrets, Stork, Bitter and Ibis'	'known'									
'E_1440'	'EURING'	'1440'	'S'	'Platalea leucorodia'	'Spoonbill'	'https://avibase.ca/A0A584C1 '	'80-90'	'120-135'						'Waterbird'	'Spoonbill'	'known'									
'CU_1449'	'Custom'	'1449'	'SG'	'Phoenicopterus sp.'	'Flamingo sp.'									'Waterbird'	'Flamingo'	'unknown'									
'E_1520'	'EURING'	'1520'	'S'	'Cygnus olor'	'Mute Swan'	'https://avibase.ca/694C127A '	'140-160'	'208-238'						'Waterbird'	'Swan'	'known'									
'E_1530'	'EURING'	'1530'	'S'	'Cygnus columbianus'	'Tundra Swan'	'https://avibase.ca/0BCBA6B9 '	'120-147'	168						'Waterbird'	'Swan'	'known'									
'E_1540'	'EURING'	'1540'	'S'	'Cygnus cygnus'	'Whooper Swan'	'https://avibase.ca/BDDB5670 '	'140-160'	'205-235'						'Waterbird'	'Swan'	'known'									
'CU_1541'	'Custom'	'1541'	'S'	'Cygnus bewickii'	'Bewick''s Swan'	'https://avibase.ca/3D8F0A76 '	'115-127'	'170-195'						'Waterbird'	'Swan'	'known'									
'CU_1559'	'Custom'	'1559'	'UI'	'Cygnus sp.'	'unidentified swan'	'https://avibase.ca/F9EC83D6 '								'Waterbird'	'Swan'	'unknown'									
'E_1560'	'EURING'	'1560'	'S'	'Anser cygnoides'	'Swan Goose'	'https://avibase.ca/946E4517'	'81-94'	'160-185'						'Waterbird'	'Goose'	'known'									
'CU_1561'	'Custom'	'1561'	'S'	'Anser caerulescens'	'Snow Goose'	'https://avibase.ca/D3A260BC '	'65-80'	'132-165'						'Waterbird'	'Goose'	'known'									
'E_1570'	'EURING'	'1570'	'S'	'Anser fabalis'	'Bean Goose'	'https://avibase.ca/AD849FCB '	'66-88'	'147-175'						'Waterbird'	'Goose'	'known'									
'E_1580'	'EURING'	'1580'	'S'	'Anser brachyrhynchus'	'Pink-footed Goose'	'https://avibase.ca/AFA7EE74 '	'60-76'	'135-160'						'Waterbird'	'Goose'	'known'									
'E_1590'	'EURING'	'1590'	'S'	'Anser albifrons'	'Greater White-fronted Goose'	'https://avibase.ca/466E9077 '	'65-78'	'130-165'						'Waterbird'	'Goose'	'known'									
'E_1600'	'EURING'	'1600'	'S'	'Anser erythropus'	'Lesser White-fronted Goose'	'https://avibase.ca/184D2329 '	60	128						'Waterbird'	'Goose'	'known'									
'E_1610'	'EURING'	'1610'	'S'	'Anser anser'	'Greylag Goose'	'https://avibase.ca/4AED44E8 '	'76-89'	'147-180'						'Waterbird'	'Goose'	'known'									
'E_1620'	'EURING'	'1620'	'S'	'Anser indicus'	'Bar-headed goose'	'https://avibase.ca/B7159EF0 '	'68-78'	'140-160'						'Waterbird'	'Goose'	'known'									
'E_1660'	'EURING'	'1660'	'S'	'Branta canadensis'	'Canada Goose'	'https://avibase.ca/B59E1863 '	'90-110'	'150-180'						'Waterbird'	'Goose'	'known'									
'E_1670'	'EURING'	'1670'	'S'	'Branta leucopsis'	'Barnacle Goose'	'https://avibase.ca/3163ED86 '	'58-70'	'132-145'						'Waterbird'	'Goose'	'known'									
'E_1680'	'EURING'	'1680'	'S'	'Branta bernicla'	'Brent Goose'	'https://avibase.ca/8C09000A '	'56-61'	'110-120'						'Waterbird'	'Goose'	'known'									
'E_1690'	'EURING'	'1690'	'S'	'Branta ruficollis'	'Red-breasted Goose'	'https://avibase.ca/0D280B3F '	54	126						'Waterbird'	'Goose'	'known'									
'E_1700'	'EURING'	'1700'	'S'	'Alopochen aegyptiaca'	'Egyptian Goose'	'https://avibase.ca/DA2F24E3 '	'63-73'	'110-130'						'Waterbird'	'Goose'	'known'									
'CU_1701'	'Custom'	'1701'	'S'	'Anser canagicus'	'Emperor Goose '	'https://avibase.ca/1E6F0F8D '	68.5	119						'Waterbird'	'Goose'	'known'									
'CU_1709'	'Custom'	'1709'	'UI'	'Anser/Branta sp.'	'unidentified goose'									'Waterbird'	'Goose'	'unknown'									
'E_1710'	'EURING'	'1710'	'S'	'Tadorna ferruginea'	'Ruddy Shelduck'	'https://avibase.ca/1F9D883E '	64	133						'Waterbird'	'Duck'	'known'									
'E_1730'	'EURING'	'1730'	'S'	'Tadorna tadorna'	'Common Shelduck'	'https://avibase.ca/5EAB32D3 '	'58-65'	'110-133'						'Waterbird'	'Duck'	'known'									
'E_1790'	'EURING'	'1790'	'S'	'Anas penelope'	'Eurasian Wigeon'	'https://avibase.ca/15EE0D36 '	'45-51'	'75-86'						'Waterbird'	'Duck'	'known'									
'E_1800'	'EURING'	'1800'	'S'	'Anas americana'	'American Wigeon'	'https://avibase.ca/D201EB72 '	'45-58'	86.4						'Waterbird'	'Duck'	'known'									
'CU_1801'	'Custom'	'1801'	'S'	'Anas sibilatrix'	'Chiloe Wigeon'	'https://avibase.ca/0B8AF41F '								'Waterbird'	'Duck'	'known'									
'E_1810'	'EURING'	'1810'	'S'	'Anas falcata'	'Falcated Teal'	'https://avibase.ca/978D4485 '	'46-53'	'79-91'						'Waterbird'	'Duck'	'known'									
'CU_1811'	'Custom'	'1811'	'S'	'Anas carolinensis'	'Green-Winged Teal'	'https://avibase.ca/DE24B98D '	36	61						'Waterbird'	'Duck'	'known'									
'E_1820'	'EURING'	'1820'	'S'	'Anas strepera'	'Gadwall'	'https://avibase.ca/C235A4D7 '	'46-56'	'84-95'						'Waterbird'	'Duck'	'known'									
'E_1830'	'EURING'	'1830'	'S'	'Anas formosa'	'Baikal Teal'	'https://avibase.ca/63EABB42 '	'39-43'	'180-220'						'Waterbird'	'Duck'	'known'									
'E_1840'	'EURING'	'1840'	'S'	'Anas crecca'	'Eurasian Teal'	'https://avibase.ca/115F04DD '	'34-38'	'58-64'						'Waterbird'	'Duck'	'known'									
'E_1860'	'EURING'	'1860'	'S'	'Anas platyrhynchos'	'Mallard'	'https://avibase.ca/85625D75 '	'51-62'	'81-98'						'Waterbird'	'Duck'	'known'									
'E_1890'	'EURING'	'1890'	'S'	'Anas acuta'	'Northern Pintail'	'https://avibase.ca/56CCA717 '	'51-76'	'236-282'						'Waterbird'	'Duck'	'known'									
'E_1910'	'EURING'	'1910'	'S'	'Anas querquedula'	'Garganey'	'https://avibase.ca/F577BA0F '	'37-41'	'60-63'						'Waterbird'	'Duck'	'known'									
'E_1920'	'EURING'	'1920'	'S'	'Anas discors'	'Blue-winged Teal'	'https://avibase.ca/90E2543E '	'36-41'	'56-62'						'Waterbird'	'Duck'	'known'									
'E_1940'	'EURING'	'1940'	'S'	'Anas clypeata'	'Northern Shoveler'	'https://avibase.ca/ED4CE8E7 '	'44-52'	'70-84'						'Waterbird'	'Duck'	'known'									
'CU_1949'	'Custom'	'1949'	'UI'	'Anas sp.'	'unidentified swimming duck'									'Waterbird'	'Duck'	'unknown'									
'E_1960'	'EURING'	'1960'	'S'	'Netta rufina'	'Red-crested Pochard'	'https://avibase.ca/3EC2CDA9 '	'53-57'	'85-90'						'Waterbird'	'Duck'	'known'									
'E_1980'	'EURING'	'1980'	'S'	'Aythya ferina'	'Common Pochard'	'https://avibase.ca/A96692E0 '	46	77						'Waterbird'	'Duck'	'known'									
'E_2030'	'EURING'	'2030'	'S'	'Aythya fuligula'	'Tufted Duck'	'https://avibase.ca/67CEA1C1 '	'40-47'	'67-73'						'Waterbird'	'Duck'	'known'									
'E_2040'	'EURING'	'2040'	'S'	'Aythya marila'	'Greater Scaup'	'https://avibase.ca/25C94A8F '	'42-51'	'67-78'						'Waterbird'	'Duck'	'known'									
'E_2050'	'EURING'	'2050'	'S'	'Aythya affinis'	'Lesser Scaup'	'https://avibase.ca/50566E50 '	'39-46'	'68-78'						'Waterbird'	'Duck'	'known'									
'CU_2059'	'Custom'	'2059'	'UI'	'Aythya sp.'	'unidentified diving duck'									'Waterbird'	'Duck'	'unknown'									
'E_2060'	'EURING'	'2060'	'S'	'Somateria mollissima'	'Common Eider'	'https://avibase.ca/B77377EE '	'50-71'	'80-108'						'Waterbird'	'Duck'	'known'									
'E_2070'	'EURING'	'2070'	'S'	'Somateria spectabilis'	'King Eider'	'https://avibase.ca/F3D74914 '	'46-64'	'89-102'						'Waterbird'	'Duck'	'known'									
'E_2090'	'EURING'	'2090'	'S'	'Polysticta stelleri'	'Steller''s Eider'	'https://avibase.ca/BA07D016 '	'43-47'	'70-76'						'Waterbird'	'Duck'	'known'									
'E_2120'	'EURING'	'2120'	'S'	'Clangula hyemalis'	'Long-tailed Duck'	'https://avibase.ca/AF0C7BDE '	'58-60'	'73-79'						'Waterbird'	'Duck'	'known'									
'E_2130'	'EURING'	'2130'	'S'	'Melanitta nigra'	'Common Scoter'	'https://avibase.ca/24698199 '	'44-54'	'79-90'						'Waterbird'	'Duck'	'known'									
'CU_2139'	'Custom'	'2139'	'SG'	'M. nigra / M. fusca'	'Common/Velvet Scoter'									'Waterbird'	'Duck'	'known'									
'E_2140'	'EURING'	'2140'	'S'	'Melanitta perspicillata'	'Surf Scoter'	'https://avibase.ca/624078BA '	50	85						'Waterbird'	'Duck'	'known'									
'CU_2141'	'Custom'	'2141'	'S'	'Melanitta deglandi'	'White-winged Scoter'	'https://avibase.ca/4800D6B6 '	'50.8-55 '							'Waterbird'	'Duck'	'known'									
'E_2150'	'EURING'	'2150'	'S'	'Melanitta fusca'	'Velvet Scoter'	'https://avibase.ca/BAF44E36 '	'52-59'	'90-99'						'Waterbird'	'Duck'	'known'									
'E_2170'	'EURING'	'2170'	'S'	'Bucephala islandica'	'Barrow''s Goldeneye '	'https://avibase.ca/9456DEDF '	'43-48'	'68.58-76.2'						'Waterbird'	'Duck'	'known'									
'E_2180'	'EURING'	'2180'	'S'	'Bucephala clangula'	'Common Goldeneye'	'https://avibase.ca/68EA281A '	'42-50'	'65-80'						'Waterbird'	'Duck'	'known'									
'E_2200'	'EURING'	'2200'	'S'	'Mergus albellus'	'Smew'	'https://avibase.ca/F1F52036 '	'36-44'	'55-69'						'Waterbird'	'Duck'	'known'									
'E_2210'	'EURING'	'2210'	'S'	'Mergus serrator'	'Red-breasted Merganser'	'https://avibase.ca/8DB64266 '	55	78						'Waterbird'	'Duck'	'known'									
'E_2230'	'EURING'	'2230'	'S'	'Mergus merganser'	'Goosander'	'https://avibase.ca/407E2CA8 '	'58-66'	'82-97'						'Waterbird'	'Duck'	'known'									
'CU_2231'	'Custom'	'2231'	'S'	'Lophodytes cucullatus'	'Hooded Merganser'	'https://avibase.ca/60E6081E '	'40-49'							'Waterbird'	'Duck'	'known'									
'CU_2239'	'Custom'	'2239'	'UI'	'Mergus sp.'	'unidentified merganser/goosander'									'Waterbird'	'Duck'	'unknown'									
'CU_2269'	'Custom'	'2269'	'UI'	'Anatinae'	'unidentified duck'									'Waterbird'	'Duck'	'unknown'									
